y,ds
9,2023-04-07
6,2023-04-07
6,2023-04-07
6,2023-04-07
7,2023-04-07
7,2023-04-07
8,2023-04-07
6,2023-04-07
6,2023-04-07
6,2023-04-07
4,2023-04-07
4,2023-04-07
7,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
7,2023-04-07
6,2023-04-07
6,2023-04-07
6,2023-04-07
6,2023-04-07
5,2023-04-07
8,2023-04-07
5,2023-04-07
6,2023-04-07
6,2023-04-07
6,2023-04-07
6,2023-04-07
7,2023-04-07
5,2023-04-07
7,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
5,2023-04-07
5,2023-04-07
3,2023-04-07
4,2023-04-07
5,2023-04-07
5,2023-04-07
5,2023-04-07
4,2023-04-07
5,2023-04-07
6,2023-04-07
8,2023-04-07
5,2023-04-07
4,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
7,2023-04-07
7,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
4,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
6,2023-04-07
5,2023-04-07
3,2023-04-07
7,2023-04-07
4,2023-04-07
4,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
6,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
4,2023-04-07
4,2023-04-07
4,2023-04-07
3,2023-04-07
4,2023-04-07
3,2023-04-07
3,2023-04-07
4,2023-04-07
6,2023-04-07
5,2023-04-07
6,2023-04-07
5,2023-04-07
4,2023-04-07
3,2023-04-07
4,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
4,2023-04-07
4,2023-04-07
4,2023-04-07
5,2023-04-07
4,2023-04-07
4,2023-04-07
3,2023-04-07
5,2023-04-07
5,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
6,2023-04-07
5,2023-04-07
5,2023-04-07
3,2023-04-07
5,2023-04-07
4,2023-04-07
5,2023-04-07
6,2023-04-07
3,2023-04-07
5,2023-04-07
5,2023-04-07
3,2023-04-07
2,2023-04-07
5,2023-04-07
4,2023-04-07
6,2023-04-07
5,2023-04-07
5,2023-04-07
5,2023-04-07
4,2023-04-07
5,2023-04-07
4,2023-04-07
5,2023-04-07
6,2023-04-07
4,2023-04-07
5,2023-04-07
5,2023-04-07
5,2023-04-07
6,2023-04-07
7,2023-04-07
7,2023-04-07
6,2023-04-07
5,2023-04-07
4,2023-04-07
3,2023-04-07
6,2023-04-07
7,2023-04-07
5,2023-04-07
5,2023-04-07
5,2023-04-07
4,2023-04-07
7,2023-04-07
4,2023-04-07
7,2023-04-07
8,2023-04-07
6,2023-04-07
